Date/Time :,2020/12/16 @ 02:59:50 PM,2020/12/17 @ 03:07:58 PM,2020/12/18 @ 02:59:02 PM,2020/12/19 @ 03:07:32 PM,2020/12/20 @ 02:58:37 PM,2020/12/21 @ 03:06:01 PM,2020/12/22 @ 02:58:03 PM,2020/12/23 @ 03:06:55 PM
Survey Type :,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS
X Units :,Meters,Meters,Meters,Meters,Meters,Meters,Meters,Meters
Y Units :,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius
Calibrated Depth Interval :,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Distance Average :,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Average :,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59
Asset :,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5
Probe Name :,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5
Distance (m),Temp(C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C)

894.688,128.679,128.817,129.611,128.539,128.478,128.208,128.833,129.344
895.188,130.335,130.567,131.548,130.289,130.134,129.989,130.426,131.063
895.719,132.897,133.348,134.423,133.164,133.103,132.896,133.208,133.844
896.219,135.929,136.723,137.892,136.508,136.509,136.396,136.551,137.376
896.719,138.710,139.848,140.704,139.726,139.447,139.614,139.864,140.344
897.250,140.085,141.442,142.611,141.570,141.416,141.083,141.489,142.032
897.750,140.022,141.192,142.579,141.414,141.353,141.146,141.239,142.032
898.250,137.991,139.692,140.892,139.758,139.759,139.677,139.770,140.376
898.781,135.179,136.255,137.454,136.601,136.478,136.239,136.645,137.063
899.281,131.960,132.786,133.423,132.820,132.853,132.739,132.989,133.313
899.813,129.897,130.567,131.298,130.414,130.447,130.427,130.489,131.157
900.313,128.835,129.411,130.048,129.164,129.041,128.989,129.301,130.063
900.813,128.147,128.692,129.204,128.351,128.384,128.208,128.551,129.282
901.344,127.616,127.942,128.704,127.820,127.791,127.677,127.989,128.563
901.844,127.241,127.411,128.392,127.351,127.322,127.271,127.520,127.876
902.344,127.616,127.567,128.454,127.539,127.634,127.427,127.645,128.094
902.875,128.522,128.630,129.361,128.351,128.072,128.208,128.551,129.157
903.375,130.022,130.411,130.986,130.070,129.853,130.021,130.208,130.782
903.875,132.554,132.755,133.798,132.476,132.416,132.427,132.770,133.438
904.406,135.554,136.161,137.142,135.851,135.759,135.583,135.864,136.501
904.906,139.085,140.036,141.048,139.758,139.634,139.677,139.739,140.594
905.406,142.397,143.755,144.986,143.820,143.541,143.239,143.583,144.251
905.938,143.585,145.161,146.579,145.195,145.009,144.864,145.145,145.688
906.438,142.616,144.067,145.829,144.320,144.072,143.989,144.239,144.907
906.938,139.960,141.536,142.767,141.664,141.509,141.333,141.583,142.063
907.469,136.366,137.598,138.486,137.508,137.541,137.614,137.645,138.313
907.969,133.522,133.911,135.017,133.914,134.134,133.927,134.051,134.657
908.469,132.335,132.723,133.423,132.539,132.603,132.333,132.520,133.282
909.000,131.272,131.911,132.454,131.601,131.634,131.614,131.426,132.219
909.500,130.241,130.692,131.548,130.570,130.603,130.302,130.645,131.219
910.000,129.960,130.317,131.173,130.164,130.103,130.052,130.333,130.876
910.531,130.147,130.473,131.298,130.289,130.259,130.021,130.333,130.782
911.031,130.460,131.005,131.829,130.539,130.572,130.364,130.614,131.157
911.531,130.335,130.723,131.423,130.539,130.572,130.302,130.583,131.157
912.063,130.616,130.536,131.423,130.476,130.541,130.239,130.583,131.251
912.563,131.929,132.255,132.892,131.789,131.822,131.646,131.864,132.626
913.063,137.804,138.473,139.236,137.976,137.666,137.458,137.958,138.563
913.594,146.491,147.692,148.767,147.289,146.759,146.458,147.020,147.626
914.094,153.335,155.067,156.423,154.851,154.572,154.271,154.583,155.157
914.594,155.866,157.661,158.861,157.476,157.353,157.021,157.176,157.844
915.125,155.960,157.223,158.517,157.351,157.072,156.833,157.114,157.751
915.625,153.835,154.755,155.954,154.695,154.884,154.583,154.614,155.407
916.125,150.335,151.505,152.454,151.414,151.322,151.083,151.395,152.219
916.656,146.366,147.661,148.673,147.758,147.634,147.427,147.645,148.282
917.156,142.147,143.192,144.329,143.695,143.416,143.333,143.614,144.219
917.656,136.585,137.317,138.361,137.508,137.541,137.489,137.739,138.532
918.188,130.960,131.348,132.236,131.414,131.353,131.396,131.676,132.438
918.688,127.647,127.786,128.454,127.695,127.697,127.614,127.958,128.844
919.219,126.429,126.817,127.486,126.539,126.634,126.614,126.770,127.532
919.719,126.429,126.473,127.079,126.476,126.353,126.614,126.739,127.313
920.219,125.866,126.223,126.673,126.133,125.916,126.271,126.426,126.782
920.750,125.304,125.380,125.986,125.258,125.072,125.333,125.551,126.032
921.250,124.710,124.755,125.329,124.820,124.666,124.771,124.958,125.813
921.750,124.491,124.630,125.236,124.508,124.291,124.583,124.708,125.532
922.281,124.491,124.505,125.236,124.383,124.291,124.427,124.708,125.313
922.781,124.522,124.411,125.111,124.445,124.384,124.458,124.770,125.438
923.281,124.835,124.723,125.298,124.789,124.666,124.677,124.958,125.594
923.813,125.085,125.255,125.798,125.226,125.041,125.052,125.458,126.063
924.313,125.647,125.848,126.423,125.726,125.634,125.802,126.020,126.907
924.813,126.210,126.536,127.454,126.383,126.509,126.489,126.770,127.563
925.344,127.304,127.411,128.173,127.258,127.353,127.239,127.645,128.157
925.844,127.710,127.848,129.017,127.883,128.041,127.927,128.395,128.969
926.344,127.710,127.973,129.204,128.070,128.009,128.208,128.551,129.032
926.875,127.397,127.598,128.548,127.820,127.603,127.646,127.958,128.751
927.375,127.085,127.348,128.111,127.289,127.541,127.271,127.708,128.407
927.875,127.147,127.473,128.236,127.476,127.541,127.552,127.926,128.376
928.406,127.147,127.473,128.298,127.414,127.541,127.614,127.708,128.344
928.906,126.929,127.098,128.142,127.195,127.134,127.271,127.426,128.126
929.406,126.366,126.223,127.361,126.539,126.478,126.489,126.864,127.501
929.938,125.522,125.723,126.736,125.789,125.978,125.802,126.176,126.907
930.438,125.272,125.317,125.954,125.414,125.322,125.427,125.614,126.094
930.938,124.741,124.505,125.361,124.664,124.634,124.833,125.051,125.532
931.469,124.147,123.973,124.923,124.008,124.134,124.302,124.239,124.844
931.969,124.054,123.786,124.361,123.883,123.947,123.864,124.083,124.813
932.469,123.960,123.786,124.454,123.695,123.728,123.802,124.051,124.844
933.000,123.772,124.005,124.392,123.726,123.822,123.802,124.145,124.657
933.500,123.897,123.848,124.673,123.758,123.884,123.864,124.301,124.719
934.000,123.929,123.942,124.486,123.758,123.697,123.864,124.145,124.719
934.531,123.897,123.598,124.392,123.633,123.603,123.708,124.020,124.719
935.031,123.647,123.692,124.329,123.508,123.634,123.583,123.895,124.657
935.531,123.554,123.567,124.361,123.539,123.634,123.708,123.958,124.657
936.063,123.554,123.661,124.361,123.633,123.634,123.708,123.958,124.657
936.563,123.616,123.755,124.329,123.570,123.572,123.614,123.958,124.751
937.063,123.616,123.786,124.236,123.601,123.666,123.552,123.895,124.626
937.594,123.741,123.755,124.361,123.601,123.509,123.802,124.051,124.626
938.094,124.054,124.067,124.611,124.101,124.103,124.114,124.364,124.907
938.594,124.397,124.473,125.048,124.508,124.322,124.521,124.801,125.313
939.125,124.491,124.411,125.048,124.320,124.322,124.489,124.864,125.344
939.625,124.710,124.348,124.892,124.195,124.322,124.271,124.708,125.001
940.156,124.491,124.286,124.798,124.195,124.291,124.271,124.333,125.001
940.656,124.272,124.005,124.673,123.945,123.978,124.114,124.301,124.844
941.156,123.960,123.598,124.236,123.476,123.478,123.646,123.926,124.469
941.688,123.022,122.880,123.736,122.851,122.978,122.927,123.239,123.719
942.188,122.647,122.286,122.986,122.414,122.384,122.396,122.614,123.438
942.688,122.647,122.286,122.986,122.289,122.322,122.271,122.676,123.469
943.219,122.866,122.536,123.142,122.351,122.509,122.521,122.895,123.626
943.719,123.116,122.848,123.517,122.758,122.916,123.114,123.051,123.938
944.219,123.522,123.286,123.986,123.195,123.322,123.364,123.645,124.126
944.750,124.022,123.723,124.298,123.539,123.603,123.864,123.926,124.688
945.250,124.022,124.067,124.704,123.851,123.947,123.896,124.208,124.688
945.750,124.085,124.192,124.767,123.976,124.166,124.208,124.426,124.876
946.281,124.179,124.192,124.704,124.039,124.041,124.208,124.489,124.876
946.781,123.991,124.036,124.704,123.914,123.728,123.802,124.176,124.719
947.281,123.866,123.723,124.486,123.820,123.666,123.708,124.051,124.563
947.813,123.866,123.755,124.486,123.664,123.697,123.708,123.958,124.751
948.313,123.741,123.911,124.392,123.664,123.791,123.708,124.114,124.688
948.813,123.835,123.942,124.423,123.789,123.791,123.833,124.083,124.751
949.344,123.991,124.005,124.892,124.008,124.041,124.177,124.239,124.969
949.844,124.272,124.411,125.142,124.383,124.291,124.521,124.520,125.313
950.344,124.522,124.755,125.392,124.601,124.666,124.708,124.833,125.313
950.875,124.772,124.973,125.454,124.851,124.572,124.896,124.926,125.438
951.375,124.491,124.473,125.361,124.508,124.572,124.646,124.958,125.594
951.875,123.897,124.067,124.548,123.945,123.947,124.052,124.426,124.938
952.406,123.210,123.473,124.079,123.164,123.197,123.271,123.614,124.126
952.906,123.335,122.942,123.923,122.945,122.978,123.114,123.395,124.094
953.406,123.335,123.067,123.829,122.976,123.134,123.177,123.270,124.126
953.938,123.304,123.286,123.923,123.133,123.103,123.177,123.551,124.157
954.438,123.460,123.317,124.017,123.258,123.291,123.521,123.520,124.219
954.938,123.397,123.442,124.079,123.289,123.416,123.521,123.520,124.094
955.469,123.522,123.473,124.173,123.289,123.541,123.396,123.583,124.219
955.969,124.179,124.005,124.736,123.851,123.884,123.864,124.145,124.938
956.469,124.491,124.317,125.142,124.445,124.384,124.427,124.645,125.376
957.000,124.585,124.473,125.267,124.414,124.447,124.458,124.645,125.376
957.500,124.210,124.161,124.642,123.976,123.978,124.021,124.364,124.907
958.000,122.897,122.848,123.454,122.601,122.916,122.958,123.239,123.563
958.531,121.366,121.067,121.861,120.976,121.197,121.427,121.458,122.032
959.031,120.710,120.442,121.017,120.133,120.072,120.364,120.583,120.969
959.531,120.054,119.848,120.548,119.508,119.697,119.771,120.083,120.501
960.063,119.554,119.536,119.892,119.320,119.541,119.427,119.583,120.001
960.563,119.585,119.192,119.767,119.164,119.259,119.239,119.489,120.001
961.094,119.366,119.098,119.704,118.976,119.009,119.052,119.239,120.032
961.594,119.366,119.380,119.892,119.070,119.322,119.271,119.614,120.219
962.094,120.241,120.161,120.954,119.976,120.228,120.083,120.458,121.032
962.625,121.429,121.317,121.892,121.258,121.134,121.146,121.551,121.782
963.125,122.116,121.911,122.642,121.789,121.759,121.896,122.051,122.594
963.625,122.147,122.036,122.704,121.914,122.228,122.146,122.426,122.907
964.156,122.210,121.942,122.829,121.976,122.166,122.146,122.426,122.969
964.656,122.272,121.973,122.736,121.945,122.103,121.958,122.426,122.876
965.156,122.366,122.348,123.204,122.133,122.353,122.333,122.676,123.251
965.688,122.460,122.536,122.954,122.289,122.416,122.364,122.833,123.282
966.188,122.241,122.255,122.923,122.289,122.291,122.364,122.676,123.282
966.688,122.241,122.380,122.986,122.039,122.072,122.052,122.364,123.219
967.219,122.304,122.192,122.986,121.914,122.103,122.083,122.489,123.188
967.719,122.397,122.348,123.048,122.383,122.322,122.427,122.926,123.344
968.219,122.647,122.505,123.236,122.539,122.541,122.677,122.989,123.501
968.750,122.522,122.411,123.142,122.383,122.478,122.583,122.708,123.313
969.250,122.522,122.536,123.236,122.445,122.478,122.521,122.708,123.376
969.750,122.991,122.973,123.486,122.695,122.791,122.896,122.801,123.501
970.281,122.991,123.161,123.704,122.820,122.853,122.896,123.020,123.657
970.781,123.085,123.036,123.548,122.820,122.853,122.896,123.301,123.844
971.281,123.022,122.942,123.548,122.633,122.634,122.896,123.301,123.594
971.813,123.022,122.942,123.611,122.789,122.759,122.896,123.176,123.688
972.313,123.147,123.130,123.611,122.945,122.916,123.021,123.239,123.813
972.813,122.929,122.911,123.423,122.539,122.728,122.927,123.145,123.657
973.344,122.866,122.786,123.517,122.633,122.728,122.927,123.020,123.376
973.844,123.022,122.880,123.704,122.914,122.884,122.989,123.270,123.719
974.344,123.272,123.192,123.798,123.008,123.166,123.083,123.520,123.938
974.875,123.022,123.161,123.798,122.758,123.072,123.083,123.301,123.876
975.375,123.147,123.098,123.798,122.914,123.072,123.146,123.333,123.813
975.875,123.147,123.161,123.736,123.039,123.072,123.114,123.395,123.907
976.406,123.335,123.286,123.829,123.039,123.166,123.083,123.520,124.063
976.906,123.085,123.380,123.798,123.070,123.166,123.083,123.614,124.126
977.406,123.116,123.067,123.642,122.789,123.009,123.083,123.239,124.032
977.938,122.929,122.723,123.236,122.758,122.728,122.771,123.333,123.782
978.438,122.522,122.692,123.236,122.539,122.509,122.552,122.958,123.532
978.938,122.460,122.411,123.236,122.414,122.228,122.552,122.801,123.532
979.469,122.554,122.598,123.204,122.351,122.384,122.489,122.958,123.532
979.969,122.741,122.692,123.173,122.508,122.447,122.677,122.958,123.563
980.500,122.522,122.505,122.986,122.383,122.259,122.427,122.833,123.251
981.000,122.522,122.505,123.017,122.258,122.259,122.427,122.676,123.313
981.500,122.491,122.661,123.142,122.601,122.541,122.458,122.708,123.501
982.031,122.804,122.723,123.329,122.601,122.572,122.646,122.958,123.594
982.531,123.054,123.098,123.798,122.976,122.916,122.989,123.426,123.876
983.031,123.366,123.442,124.173,123.570,123.416,123.552,123.739,124.313
983.563,123.335,123.442,124.173,123.508,123.509,123.583,123.739,124.313
984.063,123.335,123.442,123.923,123.320,123.259,123.396,123.583,124.313
984.563,123.272,123.223,123.954,123.039,122.947,123.333,123.676,124.126
985.094,122.991,122.911,123.673,122.851,122.853,123.052,123.395,123.844
985.594,122.772,122.505,123.173,122.601,122.572,122.708,122.958,123.657
986.094,122.585,122.411,123.111,122.351,122.478,122.552,122.708,123.438
986.625,122.335,122.411,122.954,122.289,122.322,122.458,122.864,123.438
987.125,122.335,122.473,123.173,122.351,122.322,122.458,122.770,123.219
987.625,122.554,122.661,123.361,122.476,122.384,122.646,122.864,123.438
988.156,122.804,122.723,123.454,122.570,122.603,122.677,122.958,123.719
988.656,122.804,122.786,123.423,122.758,122.822,122.771,123.145,123.719
989.156,122.866,122.848,123.392,122.726,122.572,122.927,123.083,123.626
989.688,122.897,122.973,123.548,122.664,122.791,122.958,123.301,124.032
990.188,122.929,122.973,123.611,122.851,122.884,123.052,123.301,124.001
990.688,123.304,123.348,124.142,123.164,123.103,123.239,123.770,124.094
991.219,124.397,124.411,125.111,124.101,124.259,124.271,124.583,125.063
991.719,125.804,125.755,126.517,125.508,125.572,125.552,125.989,126.376
992.219,126.522,126.411,127.329,126.226,126.447,126.364,126.770,127.313
992.750,126.585,126.473,127.236,126.258,126.447,126.427,126.801,127.313
993.250,126.085,126.223,126.892,126.101,126.103,126.021,126.333,126.938
993.750,126.210,125.942,126.579,125.976,125.728,125.896,126.020,126.813
994.281,126.366,125.973,126.892,126.226,125.916,126.052,126.333,126.969
994.781,126.304,126.005,126.736,126.101,125.947,126.146,126.301,126.844
995.281,125.741,125.536,126.111,125.445,125.447,125.489,125.864,126.469
995.813,124.741,124.880,125.517,124.758,124.822,124.833,125.145,125.751
996.313,124.147,124.067,124.923,124.070,124.197,124.271,124.458,125.063
996.813,123.710,123.598,124.236,123.508,123.666,123.708,123.833,124.501
997.344,123.741,123.786,124.173,123.383,123.447,123.583,123.833,124.438
997.844,123.741,123.661,124.236,123.320,123.384,123.583,123.926,124.438
998.344,123.679,123.505,124.111,123.289,123.416,123.458,123.708,124.251
998.875,123.429,123.411,124.111,123.320,123.416,123.458,123.645,124.282
