Date/Time :,2020/12/15 @ 12:43:00 PM,2020/12/16 @ 12:50:43 PM,2020/12/17 @ 12:42:23 PM,2020/12/18 @ 12:49:46 PM,2020/12/19 @ 12:41:51 PM,2020/12/20 @ 12:49:22 PM,2020/12/21 @ 12:40:29 PM,2020/12/22 @ 12:48:52 PM,2020/12/23 @ 12:41:11 PM
Survey Type :,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS
X Units :,Meters,Meters,Meters,Meters,Meters,Meters,Meters,Meters,Meters
Y Units :,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius
Calibrated Depth Interval :,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Distance Average :,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Average :,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59
Asset :,1AP7,1AP7,1AP7,1AP7,1AP7,1AP7,1AP7,1AP7,1AP7
Probe Name :,1AP7,1AP7,1AP7,1AP7,1AP7,1AP7,1AP7,1AP7,1AP7
Distance (m),Temp(C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C)

797.678,149.152,150.093,149.740,149.650,149.985,150.480,150.713,150.334,150.305
798.178,149.277,150.218,149.771,149.775,149.985,150.511,150.682,150.427,150.367
798.678,149.590,150.281,149.896,149.932,150.141,150.511,150.713,150.552,150.461
799.209,149.652,150.218,149.990,149.963,150.235,150.605,150.807,150.615,150.586
799.709,149.652,150.156,150.021,149.963,150.204,150.761,150.807,150.677,150.680
800.209,149.684,150.187,149.896,149.900,150.110,150.761,150.901,150.677,150.649
800.740,149.590,150.187,149.740,149.619,149.985,150.511,150.807,150.584,150.399
801.240,149.184,149.937,149.552,149.463,149.766,150.261,150.495,150.209,150.117
801.740,148.746,149.812,149.240,149.338,149.673,150.074,150.276,149.865,149.961
802.271,148.652,149.750,149.271,149.275,149.673,150.105,150.182,149.865,149.961
802.771,148.871,149.718,149.334,149.400,149.704,150.167,150.307,150.052,150.055
803.271,149.027,149.781,149.459,149.588,149.829,150.230,150.526,150.209,150.211
803.803,149.152,149.937,149.677,149.775,149.860,150.417,150.651,150.365,150.367
804.303,149.215,149.937,149.677,149.682,149.829,150.449,150.713,150.365,150.399
804.803,148.965,149.812,149.584,149.432,149.704,150.355,150.620,150.240,150.180
805.334,148.840,149.656,149.427,149.432,149.548,150.105,150.276,150.052,149.961
805.834,148.809,149.625,149.396,149.307,149.423,150.074,150.182,149.959,149.961
806.334,149.027,149.781,149.584,149.400,149.610,150.105,150.120,150.115,150.055
806.865,149.277,149.937,149.740,149.525,149.923,150.292,150.213,150.334,150.274
807.365,149.402,150.156,149.740,149.557,149.954,150.417,150.526,150.459,150.461
807.865,149.465,150.281,149.990,149.744,149.954,150.542,150.776,150.615,150.649
808.396,149.465,150.437,150.084,149.869,150.079,150.542,150.932,150.646,150.680
808.896,149.434,150.250,149.927,149.869,150.110,150.511,150.838,150.521,150.555
809.396,149.027,150.031,149.740,149.713,150.016,150.417,150.526,150.302,150.399
809.928,148.777,149.718,149.334,149.432,149.641,150.292,150.245,150.052,150.024
810.428,148.559,149.593,149.084,149.213,149.516,150.011,150.151,149.709,149.899
810.928,148.621,149.593,149.177,149.244,149.454,150.011,150.245,149.927,149.867
811.459,149.059,149.906,149.490,149.525,149.641,150.136,150.495,150.240,150.242
811.959,149.090,149.906,149.459,149.525,149.704,150.167,150.276,150.240,150.149
812.459,148.840,149.562,149.365,149.275,149.579,150.011,150.026,149.990,149.805
812.990,148.527,149.281,149.209,149.213,149.360,149.792,149.932,149.709,149.680
813.490,148.402,149.156,149.021,148.963,149.235,149.761,149.870,149.615,149.555
