Date/Time :,2018/12/06 @ 03:08:06 PM,2018/12/07 @ 03:15:05 PM,2018/12/08 @ 02:54:44 PM,2018/12/09 @ 03:01:52 PM,2018/12/10 @ 03:08:19 PM,2018/12/11 @ 03:15:13 PM,2018/12/12 @ 02:53:47 PM
Survey Type :,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS
X Units :,Meters,Meters,Meters,Meters,Meters,Meters,Meters
Y Units :,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius
Calibrated Depth Interval :,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Distance Average :,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Average :,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59
Asset :,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2
Probe Name :,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2
Distance (m),Temp(C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C)

1053.525,165.298,166.535,168.515,173.480,197.525,249.436,
1054.025,164.391,165.847,168.202,172.730,197.463,249.186,
1054.525,164.579,165.816,167.984,172.949,199.400,249.155,
1055.056,165.391,166.472,168.296,173.105,197.869,248.061,
1055.556,167.298,168.566,169.390,173.886,197.931,248.842,
1056.056,169.641,170.629,170.827,174.543,199.275,249.280,
1056.587,171.016,171.629,171.359,174.824,197.775,248.592,
1057.087,170.829,171.316,170.890,174.449,197.806,248.592,
1057.587,168.641,169.254,169.796,173.855,197.650,248.780,
1058.119,166.391,167.410,168.702,173.043,197.838,248.186,
1058.619,164.891,166.097,167.921,173.043,198.306,245.967,
1059.119,164.610,165.691,167.640,172.386,196.806,246.717,
1059.650,164.360,165.410,167.609,172.386,197.150,247.342,
1060.150,164.579,165.816,167.859,172.386,196.775,247.123,
1060.650,164.735,166.660,168.671,173.293,197.838,246.186,
1061.181,166.141,167.879,169.671,173.824,198.244,247.436,
1061.681,168.454,170.097,170.890,174.480,198.369,249.092,
1062.181,170.954,171.722,171.921,174.793,197.150,249.311,
1062.712,172.141,172.379,171.890,174.793,198.088,248.530,
1063.212,171.485,172.254,171.577,174.699,199.619,248.217,
1063.712,170.360,170.847,170.609,173.668,197.306,248.842,
1064.244,168.516,169.379,169.702,173.418,196.619,248.467,
1064.744,167.016,168.129,168.890,172.793,195.650,247.873,
1065.244,165.673,166.754,168.234,172.918,196.181,246.811,
1065.775,164.829,166.316,168.109,172.949,198.431,247.498,
1066.275,164.548,166.097,167.827,172.699,197.494,248.436,
1066.775,164.423,165.722,167.890,172.699,194.869,248.123,
1067.306,164.016,165.785,167.609,172.511,196.213,247.561,
1067.806,164.204,165.847,167.859,172.574,197.025,247.530,
1068.306,165.610,167.004,168.515,173.199,197.181,248.061,
1068.837,168.048,168.972,169.796,173.793,198.713,249.155,
1069.337,170.454,171.097,171.046,174.511,198.525,248.311,
1069.837,172.048,172.504,171.734,174.855,199.963,249.092,
1070.369,171.954,172.347,172.077,174.949,199.650,248.530,
1070.869,170.298,170.691,171.077,174.668,199.525,248.998,
1071.400,167.485,168.347,169.484,174.105,198.088,248.155,
1071.900,165.548,166.691,168.484,173.761,198.556,248.248,
1072.400,164.423,165.722,167.952,172.886,197.213,247.342,
1072.931,164.110,165.379,167.234,172.324,196.650,246.186,
1073.431,164.329,165.379,167.234,172.324,196.650,245.498,
1073.931,165.016,166.097,168.265,172.855,196.994,247.092,
1074.462,166.454,167.910,169.577,174.230,197.900,247.811,
1074.962,169.141,170.222,171.015,175.230,199.713,249.405,
1075.462,171.954,172.535,171.952,175.449,198.775,249.342,
1075.994,173.235,173.566,172.452,175.605,198.994,250.061,
1076.494,173.266,173.879,172.515,175.480,199.338,248.373,
1076.994,172.798,173.379,172.296,175.293,199.681,248.748,
1077.525,170.891,171.410,171.421,174.761,198.775,247.592,
1078.025,167.891,168.722,169.796,174.011,199.056,248.623,
1078.525,165.548,166.816,168.734,173.418,198.400,248.342,
1079.056,164.610,165.660,167.796,172.636,197.338,247.280,
1079.556,163.423,164.597,166.984,171.730,195.369,245.311,
1080.056,162.860,164.097,166.452,170.761,195.181,244.092,
1080.587,162.923,164.129,166.140,170.574,194.494,244.967,
1081.087,163.860,165.191,166.952,171.574,195.931,245.373,
1081.587,165.579,166.910,168.109,172.761,196.119,246.217,
1082.119,168.079,169.004,169.734,173.761,197.338,246.967,
1082.619,170.673,171.629,171.671,174.605,197.150,248.842,
1083.119,172.548,173.222,172.421,175.480,200.400,250.248,
1083.650,172.391,173.035,172.452,175.824,199.213,250.686,
1084.150,170.298,171.035,171.515,175.136,199.213,249.686,
1084.650,168.579,169.472,170.265,175.105,199.306,248.311,
1085.181,168.610,169.660,170.484,175.168,199.025,249.186,
1085.681,170.516,171.347,171.359,175.293,199.588,250.436,
1086.181,172.954,173.347,172.577,175.980,200.619,250.905,
1086.712,174.173,174.629,173.359,176.230,200.838,250.248,
1087.212,173.985,173.910,173.046,175.918,197.994,248.748,
1087.712,171.298,171.722,171.796,175.293,199.213,248.717,
1088.244,167.329,168.160,169.796,174.574,198.838,248.373,
1088.744,165.141,166.347,168.327,173.793,197.494,248.092,
1089.244,164.360,165.504,167.327,172.605,197.431,247.123,
1089.775,163.766,165.004,167.077,172.105,197.431,246.311,
1090.275,164.298,165.285,167.109,172.105,196.463,246.467,
1090.806,164.298,165.535,167.671,172.543,199.775,246.280,
1091.306,164.579,166.160,168.171,173.199,196.994,247.217,
1091.806,165.641,166.910,169.109,173.793,198.838,249.030,
1092.337,166.891,167.754,169.484,174.386,198.369,249.467,
1092.837,167.048,167.972,169.484,174.543,198.931,249.280,
1093.337,166.891,167.879,169.327,174.543,198.650,249.123,
1093.869,166.173,167.191,169.234,174.418,198.369,248.405,
1094.369,165.266,166.316,168.827,173.886,199.494,249.311,
1094.869,164.579,165.941,168.452,173.949,195.369,247.936,
1095.400,164.829,166.160,168.640,173.949,198.681,248.873,
1095.900,166.454,167.722,169.390,174.668,198.494,250.092,
1096.400,169.610,170.566,171.077,175.480,198.806,249.373,
1096.931,172.173,173.004,172.234,175.668,200.056,249.186,
1097.431,170.954,171.597,171.390,174.886,198.463,247.905,
1097.931,167.048,168.035,169.421,173.980,197.494,249.030,
1098.462,164.454,165.754,168.296,173.511,198.400,248.623,
1098.962,164.173,165.472,167.765,173.418,198.244,247.405,
1099.462,164.704,166.097,168.046,173.574,198.338,247.561,
1099.994,165.360,166.660,168.921,173.918,198.806,249.030,
1100.494,165.610,166.910,169.046,174.543,198.869,248.467,
1100.994,165.610,166.816,168.952,174.418,199.150,248.467,
1101.525,165.141,166.535,168.702,173.949,199.650,249.123,
1102.025,164.298,165.472,167.952,173.480,199.463,248.436,
1102.525,163.298,164.722,167.296,172.855,196.431,247.186,
1103.056,162.923,164.254,166.734,172.855,195.275,246.123,
1103.556,162.829,163.847,166.390,171.980,199.869,245.998,
1104.056,163.079,164.379,166.265,172.199,197.088,245.998,
1104.587,164.141,165.410,167.421,172.980,196.119,246.186,
1105.087,166.141,167.566,169.265,174.730,197.556,247.905,
1105.587,170.079,171.129,171.984,176.386,200.181,250.092,
1106.119,173.954,175.066,174.452,177.793,201.588,251.248,
1106.619,175.329,175.879,175.015,177.605,201.556,249.811,
1107.119,175.110,175.816,174.765,177.574,200.931,250.155,
1107.650,175.266,175.879,174.702,177.449,201.994,250.280,
1108.150,176.016,176.285,174.890,177.574,201.963,250.967,
1108.650,176.423,176.785,175.671,177.230,203.588,251.342,
1109.181,176.516,176.847,175.327,177.168,202.306,249.967,
1109.681,174.891,174.816,173.827,176.949,202.213,249.655,
1110.181,170.891,170.722,171.077,175.605,201.963,249.967,
1110.712,166.735,167.472,168.671,174.261,200.588,249.655,
1111.212,164.610,165.504,167.359,172.761,196.713,246.967,
1111.744,163.798,165.160,166.921,171.918,197.431,246.530,
1112.244,164.016,165.129,167.171,172.199,195.681,245.842,
1112.744,164.048,165.535,167.515,173.136,197.713,246.780,
1113.275,165.016,166.035,168.296,173.511,199.525,247.936,
1113.775,167.048,167.879,169.140,174.136,199.963,248.717,
1114.275,169.860,170.316,170.577,174.886,200.619,250.592,
1114.806,170.891,171.035,171.171,175.386,202.150,250.717,
1115.306,170.141,169.754,170.546,175.543,199.525,251.155,
1115.806,167.798,168.566,169.609,175.324,199.213,249.248,
1116.337,166.141,166.941,168.890,174.761,199.994,249.717,
1116.837,165.079,165.722,168.234,174.324,199.994,248.311,
1117.337,164.735,165.379,167.734,173.543,198.650,247.905,
1117.869,164.454,165.535,167.390,173.105,198.619,248.498,
1118.369,164.454,165.566,167.671,173.136,199.244,247.280,
1118.869,164.954,166.222,168.484,174.230,198.494,246.780,
1119.400,166.548,167.941,169.577,175.418,199.244,248.655,
1119.900,169.360,170.722,171.546,176.699,201.275,249.030,
1120.400,173.735,174.441,173.827,177.918,201.775,249.873,
1120.931,177.204,177.285,176.077,178.918,203.150,250.092,
1121.431,178.204,178.504,176.765,179.043,201.994,250.592,
1121.931,177.391,177.879,176.265,178.918,202.150,252.186,
1122.462,175.266,175.285,174.202,178.136,200.838,250.530,
1122.962,171.173,171.129,171.546,176.980,202.431,250.373,
1123.462,167.766,168.035,169.421,175.011,200.931,249.842,
1123.994,165.516,166.222,167.984,173.699,197.775,248.780,
1124.494,164.141,165.066,167.109,172.636,195.556,245.092,
1124.994,163.298,164.410,166.859,172.386,195.931,245.436,
1125.525,163.016,163.816,166.952,172.261,196.775,245.248,
1126.025,162.829,164.097,167.171,172.886,197.494,245.717,
1126.525,163.048,164.472,167.171,172.918,197.494,244.717,
1127.056,163.923,165.379,167.765,173.261,197.806,245.998,
1127.556,165.173,166.254,168.859,174.324,198.119,247.748,
1128.056,166.423,167.379,169.421,175.230,200.088,248.936,
1128.587,166.266,167.066,169.359,175.449,199.994,248.873,
1129.087,164.923,165.941,169.015,174.824,200.431,250.748,
1129.587,164.204,165.410,168.202,174.355,199.494,249.311,
1130.119,163.798,165.066,167.796,173.355,199.244,246.342,
1130.619,163.985,165.066,167.671,173.480,198.775,246.842,
1131.119,164.454,165.504,168.390,174.043,199.150,247.436,
1131.650,166.579,167.472,169.671,175.636,198.775,248.186,
1132.150,170.391,171.004,172.265,177.355,200.463,250.467,
1132.681,174.454,174.972,174.515,178.011,201.869,251.592,
1133.181,175.579,175.754,174.546,177.824,202.619,250.436,
1133.681,171.704,171.847,172.359,176.855,202.744,250.592,
1134.212,166.485,167.285,169.640,175.386,200.369,249.530,
1134.712,164.110,165.410,168.359,174.324,198.275,248.248,
1135.212,164.110,165.441,167.921,173.386,198.713,246.998,
1135.744,164.829,166.129,168.327,174.043,198.181,246.373,
1136.244,165.391,166.160,168.952,174.668,199.838,248.155,
1136.744,165.235,166.441,169.265,175.261,201.369,248.592,
1137.275,165.798,166.785,169.577,175.511,200.306,250.092,
1137.775,165.798,166.879,169.484,175.699,200.494,249.905,
1138.275,165.829,166.847,169.640,175.386,196.838,249.280,
1138.806,165.516,166.629,169.546,175.355,198.088,249.311,
1139.306,164.735,166.222,169.452,175.293,201.650,249.811,
1139.806,164.391,165.879,168.890,175.293,200.244,249.717,
1140.337,164.360,165.254,168.671,175.136,198.619,249.373,
1140.837,164.579,165.722,169.109,175.386,199.744,248.436,
1141.337,165.266,166.566,169.796,175.668,200.463,251.311,
1141.869,167.610,168.004,170.421,176.199,200.556,251.311,
1142.369,169.110,169.160,170.859,176.199,201.213,249.905,
1142.869,167.735,168.316,170.452,175.886,203.244,249.967,
1143.400,165.141,166.597,169.734,175.699,201.588,249.530,
1143.900,164.548,165.910,169.515,175.449,198.713,249.280,
1144.400,165.048,166.441,169.796,175.793,200.838,250.217,
1144.931,166.016,167.379,169.859,176.074,200.838,249.248,
1145.431,167.704,168.472,170.359,176.105,200.963,251.061,
1145.931,169.110,169.379,170.671,176.261,200.900,251.748,
1146.462,168.954,169.129,170.484,176.324,201.150,251.717,
1146.962,167.610,167.847,169.734,176.105,199.650,251.655,
1147.462,166.048,166.535,169.234,175.605,201.119,250.248,
1147.994,165.423,166.691,169.515,175.543,201.213,249.592,
1148.494,165.423,166.691,169.796,175.699,198.556,249.592,
1148.994,165.610,166.566,169.890,176.043,200.431,250.498,
1149.525,166.048,167.160,169.921,176.074,201.213,250.905,
1150.025,167.454,168.660,171.077,176.855,202.869,251.248,
1150.525,171.891,172.722,173.702,178.449,204.244,254.311,
1151.056,177.860,178.285,177.265,181.043,207.931,255.717,
1151.556,181.735,181.691,179.984,183.043,206.994,256.842,
1152.087,182.329,182.347,180.515,183.168,207.025,257.092,
1152.587,182.423,182.972,180.765,183.168,207.650,257.342,
1153.087,182.923,183.472,181.234,183.043,207.494,257.405,
1153.619,183.798,184.097,181.546,183.074,207.525,257.217,
1154.119,183.079,182.504,179.921,181.793,207.150,256.186,
1154.619,178.423,178.035,176.202,178.855,204.931,253.561,
1155.150,171.548,171.754,172.077,176.886,202.306,251.748,
1155.650,167.048,167.566,170.171,176.105,200.931,249.873,
1156.150,165.954,167.004,169.577,175.949,203.244,250.342,
1156.681,165.891,167.066,169.984,175.793,201.025,250.873,
1157.181,165.798,166.597,169.859,175.824,200.463,249.967,
1157.681,165.173,165.941,169.484,175.761,199.838,249.123,
1158.212,164.954,165.879,169.171,175.761,200.931,250.248,
1158.712,164.641,165.754,169.140,175.511,201.650,249.873,
1159.212,164.673,165.879,169.171,175.636,202.588,250.842,
1159.744,164.798,165.910,169.015,175.605,203.150,249.811,
1160.244,164.704,165.566,168.984,175.386,201.400,250.030,
1160.744,163.923,165.035,168.609,175.011,201.306,249.811,
1161.275,163.704,165.004,168.359,175.418,200.556,250.780,
1161.775,164.079,165.347,168.921,175.386,200.463,250.967,
1162.275,164.423,165.691,169.077,175.668,201.400,251.061,
1162.806,164.329,165.472,168.890,175.543,201.494,251.748,
1163.306,165.766,166.941,169.390,176.199,201.025,251.436,
1163.806,170.110,170.941,172.109,177.449,202.213,250.842,
1164.337,175.704,175.847,175.296,179.230,203.619,252.998,
1164.837,177.641,177.191,175.577,179.261,204.056,253.467,
1165.337,172.923,172.816,173.109,177.543,202.400,252.748,
1165.869,166.641,167.441,169.546,175.449,201.869,250.811,
1166.369,164.110,165.066,168.577,175.230,201.400,250.311,
1166.869,163.891,165.379,168.734,175.793,198.775,249.717,
1167.400,164.798,165.691,168.734,175.355,200.244,248.686,
1167.900,164.548,165.691,168.796,175.574,202.900,247.686,
1168.400,163.766,165.129,168.421,175.293,201.463,249.530,
1168.931,163.485,164.566,168.171,175.043,199.244,251.061,
1169.431,163.610,164.879,167.984,175.418,198.994,248.780,
1169.931,163.766,164.847,168.109,175.324,200.244,248.780,
